term_type,term_group,term,surprisal,surprisal_type,frequency
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.458156142194787,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.475965967129324,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.468955380399326,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.465594529949746,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.467976114714474,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.45007905634634,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.441957570408152,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.466083346909337,semantic,136
usual,顯有|顯然有|顯然屬於|顯然是,顯然有,6.451821694520681,semantic,8
usual,顯有|顯然有|顯然屬於|顯然是,顯然有,6.464024776512683,semantic,8
usual,顯有|顯然有|顯然屬於|顯然是,顯然有,6.463510555838252,semantic,8
usual,顯有|顯然有|顯然屬於|顯然是,顯然有,6.468080467832889,semantic,8
usual,顯有|顯然有|顯然屬於|顯然是,顯然有,6.450409252513241,semantic,8
usual,顯有|顯然有|顯然屬於|顯然是,顯然有,6.460576829943173,semantic,8
usual,顯有|顯然有|顯然屬於|顯然是,顯然有,6.474755958319822,semantic,8
usual,顯有|顯然有|顯然屬於|顯然是,顯然有,6.473617698589114,semantic,8
usual,顯有|顯然有|顯然屬於|顯然是,顯然是,6.467472365503929,semantic,1
legal,乃|於是,乃,5.442831257577672,semantic,399
legal,乃|於是,乃,5.428322196335283,semantic,399
legal,乃|於是,乃,5.449627845822299,semantic,399
legal,乃|於是,乃,5.436899639052468,semantic,399
legal,乃|於是,乃,5.246199786614354,semantic,399
legal,乃|於是,乃,5.43718982830343,semantic,399
legal,乃|於是,乃,5.427480446793455,semantic,399
legal,乃|於是,乃,5.393296097139344,semantic,399
legal,乃|於是,乃,5.4189584588570225,semantic,399
legal,乃|於是,乃,5.437587959334994,semantic,399
legal,乃|於是,乃,5.4347062379570765,semantic,399
legal,乃|於是,乃,5.443946325850619,semantic,399
legal,乃|於是,乃,5.4320009704544265,semantic,399
legal,乃|於是,乃,5.439551841774514,semantic,399
legal,乃|於是,乃,5.420354931953243,semantic,399
legal,乃|於是,乃,5.444650209272335,semantic,399
legal,乃|於是,乃,5.431624130324154,semantic,399
legal,乃|於是,乃,5.425402671706151,semantic,399
