term_type,term_group,term,surprisal,surprisal_type,frequency
bio,febrile|feverish,febrile,0.0135676715481048,semantic,118
bio,febrile|feverish,febrile,-0.2692937468915055,semantic,118
bio,febrile|feverish,febrile,-0.1388666274953859,semantic,118
bio,febrile|feverish,febrile,-0.2575410840565895,semantic,118
bio,febrile|feverish,febrile,-0.091251420488297,semantic,118
bio,febrile|feverish,febrile,-0.4185765232186966,semantic,118
bio,febrile|feverish,febrile,-0.3737137225218211,semantic,118
bio,febrile|feverish,febrile,-0.3933844263044696,semantic,118
bio,febrile|feverish,febrile,-0.5864580439978575,semantic,118
bio,febrile|feverish,febrile,-0.4626629914809041,semantic,118
bio,febrile|feverish,febrile,-0.4783844292846957,semantic,118
bio,febrile|feverish,febrile,-0.3061573774023639,semantic,118
bio,febrile|feverish,febrile,-0.2273281391492627,semantic,118
bio,febrile|feverish,febrile,-0.2905106553799545,semantic,118
bio,febrile|feverish,febrile,-0.2970802251260018,semantic,118
bio,febrile|feverish,febrile,-0.2992370521221394,semantic,118
bio,febrile|feverish,febrile,-0.31209577937817,semantic,118
bio,febrile|feverish,febrile,0.2891114554765996,semantic,118
bio,febrile|feverish,febrile,-0.0220331347339566,semantic,118
bio,febrile|feverish,febrile,-0.1224809534858047,semantic,118
bio,febrile|feverish,febrile,-0.1274928668244124,semantic,118
bio,febrile|feverish,febrile,-0.1936532941578394,semantic,118
bio,febrile|feverish,febrile,-0.288875181362301,semantic,118
bio,febrile|feverish,febrile,-0.2536906638719002,semantic,118
bio,febrile|feverish,febrile,-0.2183750681158545,semantic,118
bio,febrile|feverish,febrile,-0.1247100500700656,semantic,118
bio,febrile|feverish,febrile,-0.3709612948153593,semantic,118
bio,febrile|feverish,febrile,-0.3781034954589148,semantic,118
bio,febrile|feverish,febrile,-0.2381313742442071,semantic,118
bio,febrile|feverish,febrile,-0.2210262401284475,semantic,118
bio,febrile|feverish,febrile,-0.3042552759674655,semantic,118
bio,febrile|feverish,febrile,0.1019833162193768,semantic,118
bio,febrile|feverish,febrile,-0.3755990969876399,semantic,118
bio,febrile|feverish,febrile,-0.3582915143891256,semantic,118
bio,febrile|feverish,febrile,-0.2740058726416436,semantic,118
bio,febrile|feverish,febrile,-0.3518079381988311,semantic,118
bio,febrile|feverish,febrile,0.0780602824725107,semantic,118
bio,febrile|feverish,febrile,-0.0183655692770578,semantic,118
bio,febrile|feverish,febrile,-0.1741330213887264,semantic,118
bio,febrile|feverish,febrile,-0.2693529655127506,semantic,118
bio,febrile|feverish,febrile,-0.246440954942724,semantic,118
bio,febrile|feverish,febrile,-0.1863608140729087,semantic,118
bio,febrile|feverish,febrile,-0.3591195514865689,semantic,118
bio,febrile|feverish,febrile,-0.3039582001878921,semantic,118
bio,febrile|feverish,febrile,-0.2959009482930559,semantic,118
usual,febrile|feverish,feverish,3.726217579682994,semantic,8
usual,febrile|feverish,feverish,3.1641888490443586,semantic,8
